SentimenTweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url
-1Signal indihome gembel bgt ya. Udh byr mahal kualitas pret @IndiHomeCare coba daerah sirkuit sentul diperbaiki down mulu hobinya,1.85E+18,,,in,"ÃœT: -6.264972,106.783749",0,1,0,https://x.com/dwipuumbatu/status/1851904374051868982
-1Ini @IndiHomeCare @IndiHome lagi ada masalah kah? Internet saya tiba2 down dan susah untuk mengakses internet. Mau coba untuk menghubungi tapi susah sekali,1.85E+18,,,in,"Bandung, Jawa Barat",0,1,0,https://x.com/noazro/status/1851355423615627454
-1Ini wifi @IndiHomeCare di rumah sama dikantor kok gabisa semua lagi error Tah? #indihomedown,1.85E+18,,,in,Smg,0,1,0,https://x.com/erikaderma/status/1851060485334188322
-1Ini indihome daerah jaksel lagi down kah? @IndiHomeCare,1.85E+18,,,in,"DKI Jakarta, Indonesia",0,2,0,https://x.com/gedangispepaya/status/1851029202667278655
-1@FulvusI @IndiHome @IndiHomeCare min ini daerah jaktim sama bekasi down loh internetnya buruan diatasin dong,1.85E+18,,FulvusI,in,,0,1,0,https://x.com/Incognitoswan/status/1850948517843595358
-1@IndiHome min maaf untuk indohome daerah jaktim sama bekasi lagi down yaa min?,1.85E+18,,IndiHome,in,,0,2,0,https://x.com/FulvusI/status/1850947732028211260
-1Ini Indihome lgi down kh,1.85E+18,,,in,,0,1,0,https://x.com/yosaasy/status/1850812737410183620
-1tapi kan kasian yak si idol ga ngapa ngapain tapi ikutan jelek grgr fansnya bau,1.85E+18,,,in,berkelana,0,0,0,https://x.com/gloserarium/status/1851051270767018179
-1@emyoooga @vvotanet Dr dulu emang masalahnya baju yg fitnya jelek rata2. Mungkin mrk mikir biar bisa dipake gantian semua member.,1.85E+18,,emyoooga,in,"Washington, DC",0,0,0,https://x.com/mdht83/status/1851050957213483516
-1@IDGoonerscom Odegaard tahun ini pasti jelek karena cedera Semoga saka step up,1.85E+18,,IDGoonerscom,in,,0,1,0,https://x.com/TalkTalkabo/status/1851050744197365880
-1@nutjoonie Jelek ih malah ikutan kayak x,1.85E+18,,nutjoonie,in,tiongkok,0,1,0,https://x.com/leonza_jm/status/1851050664673362346
-1ini kalo efeknya jelek aku ga top up ,1.85E+18,,,in,,0,0,0,https://x.com/sparklivy/status/1851050481428394313
-1pgnny ceria sik tp ni kehidupan jelek amat,1.85E+18,,simp4dnd,in,,0,0,0,https://x.com/simp4dnd/status/1851050414738956350
-1laporan review perusahaan tapi isinya idol perusahaan lain tuh buat apa anyiiiing mana isinya jelek jelekin doang?,1.85E+18,,,in,ic: IlumiArts,0,1,0,https://x.com/kokowinne/status/1851050402424504555
-1@Telkomsel ini paling mahal tapi jaringan Paling Jelek Masa di Kedoya Elok sinyal E Udha gitu sering ilang2 kalo dibawa di KRL Najes,1.85E+18,,Telkomsel,in,"Kota Tangerang, Banten",0,1,0,https://x.com/iksanwinardi1/status/1851050226637029611
-1@plcxutd @okemen__ @manutd_world Rombak total sih dari yg disebut diatas wajib OUT apalagi Bruno captain jelek tiap lagi ketinggalan lawan Liverpool atau City pasti tantrum kek bocah wkwkwk,1.85E+18,,plcxutd,in,"Kota Tangerang, Banten",0,0,0,https://x.com/17_renaldi/status/1851049000537030975
-1guru agama apasih ini jelek bgt doanya,1.85E+18,,,in,,0,1,0,https://x.com/nkprmsty_/status/1851048985366315223
-1Mahal jelek pula anjay,1.85E+18,,,in,?Ÿ‡®?Ÿ‡©,0,0,0,https://x.com/17_W0NW00/status/1851026393431490589
-1Dah 3 hari ga beli beli paket soalnya ni nomor busuk bgt jelek semua paketannya,1.85E+18,,,in,de/dem/it (minor 16â†‘),0,1,0,https://x.com/oayagitoya/status/1851026337768878086
-1Huhuhu sakit ya hybe emang babi. Sejak masuk hybe juga svt banyak dapet rumor jelek staff mesum ga didengerin! Makasih buat fandom2 lain yg ngertiin posisi svt yg kanan kiri salah padahal udah kek sapi perah. Yg nyeret svt di masalah hybe gw catet lo,1.85E+18,,,in,"Seoul, Republic of Korea",0,0,0,https://x.com/sukaminggu/status/1851026142393962537
-1@triindonesia internet jelek banget sudah di restart dan gunakan Airplane 1-2 menit lalu lock jaringan ke 4G tetap masih sama gimana nih?,1.85E+18,,triindonesia,in,,0,0,0,https://x.com/evansans4/status/1851025400878834026
-1@idextratime @JLSanchez78 Sepakat. Vini jelek.,1.85E+18,,idextratime,in,,0,0,0,https://x.com/12urribla/status/1851025166610104735
-1gw ga sukanya nonton survival show tuh. yg bagus kalau ada ngelakuin kesalahan dikit dikomen tajem. tp yg emang jelek di maklumin malah dibilang cute kadang ,1.85E+18,,,in,,1,2,1,https://x.com/1gyulnoona/status/1851025103599124924
